1,AGUASCALIENTES,AGU
2,ASIENTOS,AGU
3,CALVILLO,AGU
4,COSÍO,AGU
5,JESÚS MARÍA,AGU
6,PABELLÓN DE ARTEAGA,AGU
7,RINCÓN DE ROMOS,AGU
8,SAN JOSÉ DE GRACIA,AGU
9,TEPEZALÁ,AGU
10,EL LLANO,AGU
11,SAN FRANCISCO DE LOS ROMO,AGU
12,ENSENADA,BCN
13,MEXICALI,BCN
14,TECATE,BCN
15,TIJUANA,BCN
16,PLAYAS DE ROSARITO,BCN
17,COMONDÚ,BCS
18,MULEGÉ,BCS
19,LA PAZ,BCS
20,LOS CABOS,BCS
21,LORETO,BCS
22,CALKINÍ,CAM
23,CAMPECHE,CAM
24,CARMEN,CAM
25,CHAMPOTÓN,CAM
26,HECELCHAKÁN,CAM
27,HOPELCHÉN,CAM
28,PALIZADA,CAM
29,TENABO,CAM
30,ESCÁRCEGA,CAM
31,CALAKMUL,CAM
32,CANDELARIA,CAM
33,ACACOYAGUA,CHP
34,ACALA,CHP
35,ACAPETAHUA,CHP
36,ALTAMIRANO,CHP
37,AMATÁN,CHP
38,AMATENANGO DE LA FRONTERA,CHP
39,AMATENANGO DEL VALLE,CHP
40,ANGEL ALBINO CORZO,CHP
41,ARRIAGA,CHP
42,BEJUCAL DE OCAMPO,CHP
43,BELLA VISTA,CHP
44,BERRIOZÁBAL,CHP
45,BOCHIL,CHP
46,EL BOSQUE,CHP
47,CACAHOATÁN,CHP
48,CATAZAJÁ,CHP
49,CINTALAPA,CHP
50,COAPILLA,CHP
51,COMITÁN DE DOMÍNGUEZ,CHP
52,LA CONCORDIA,CHP
53,COPAINALÁ,CHP
54,CHALCHIHUITÁN,CHP
55,CHAMULA,CHP
56,CHANAL,CHP
57,CHAPULTENANGO,CHP
58,CHENALHÓ,CHP
59,CHIAPA DE CORZO,CHP
60,CHIAPILLA,CHP
61,CHICOASÉN,CHP
62,CHICOMUSELO,CHP
63,CHILÓN,CHP
64,ESCUINTLA,CHP
65,FRANCISCO LEÓN,CHP
66,FRONTERA COMALAPA,CHP
67,FRONTERA HIDALGO,CHP
68,LA GRANDEZA,CHP
69,HUEHUETÁN,CHP
70,HUIXTÁN,CHP
71,HUITIUPÁN,CHP
72,HUIXTLA,CHP
73,LA INDEPENDENCIA,CHP
74,IXHUATÁN,CHP
75,IXTACOMITÁN,CHP
76,IXTAPA,CHP
77,IXTAPANGAJOYA,CHP
78,JIQUIPILAS,CHP
79,JITOTOL,CHP
80,JUÁREZ,CHP
81,LARRÁINZAR,CHP
82,LA LIBERTAD,CHP
83,MAPASTEPEC,CHP
84,LAS MARGARITAS,CHP
85,MAZAPA DE MADERO,CHP
86,MAZATÁN,CHP
87,METAPA,CHP
88,MITONTIC,CHP
89,MOTOZINTLA,CHP
90,NICOLÁS RUÍZ,CHP
91,OCOSINGO,CHP
92,OCOTEPEC,CHP
93,OCOZOCOAUTLA DE ESPINOSA,CHP
94,OSTUACÁN,CHP
95,OSUMACINTA,CHP
96,OXCHUC,CHP
97,PALENQUE,CHP
98,PANTELHÓ,CHP
99,PANTEPEC,CHP
100,PICHUCALCO,CHP
101,PIJIJIAPAN,CHP
102,EL PORVENIR,CHP
103,VILLA COMALTITLÁN,CHP
104,PUEBLO NUEVO SOLISTAHUACÁN,CHP
105,RAYÓN,CHP
106,REFORMA,CHP
107,LAS ROSAS,CHP
108,SABANILLA,CHP
109,SALTO DE AGUA,CHP
110,SAN CRISTÓBAL DE LAS CASAS,CHP
111,SAN FERNANDO,CHP
112,SILTEPEC,CHP
113,SIMOJOVEL,CHP
114,SITALÁ,CHP
115,SOCOLTENANGO,CHP
116,SOLOSUCHIAPA,CHP
117,SOYALÓ,CHP
118,SUCHIAPA,CHP
119,SUCHIATE,CHP
120,SUNUAPA,CHP
121,TAPACHULA,CHP
122,TAPALAPA,CHP
123,TAPILULA,CHP
124,TECPATÁN,CHP
125,TENEJAPA,CHP
126,TEOPISCA,CHP
127,TILA,CHP
128,TONALÁ,CHP
129,TOTOLAPA,CHP
130,LA TRINITARIA,CHP
131,TUMBALÁ,CHP
132,TUXTLA GUTIÉRREZ,CHP
133,TUXTLA CHICO,CHP
134,TUZANTÁN,CHP
135,TZIMOL,CHP
136,UNIÓN JUÁREZ,CHP
137,VENUSTIANO CARRANZA,CHP
138,VILLA CORZO,CHP
139,VILLAFLORES,CHP
140,YAJALÓN,CHP
141,SAN LUCAS,CHP
142,ZINACANTÁN,CHP
143,SAN JUAN CANCUC,CHP
144,ALDAMA,CHP
145,BENEMÉRITO DE LAS AMÉRICAS,CHP
146,MARAVILLA TENEJAPA,CHP
147,MARQUÉS DE COMILLAS,CHP
148,MONTECRISTO DE GUERRERO,CHP
149,SAN ANDRÉS DURAZNAL,CHP
150,SANTIAGO EL PINAR,CHP
151,AHUMADA,CHH
152,ALDAMA,CHH
153,ALLENDE,CHH
154,AQUILES SERDÁN,CHH
155,ASCENSIÓN,CHH
156,BACHÍNIVA,CHH
157,BALLEZA,CHH
158,BATOPILAS,CHH
159,BOCOYNA,CHH
160,BUENAVENTURA,CHH
161,CAMARGO,CHH
162,CARICHÍ,CHH
163,CASAS GRANDES,CHH
164,CORONADO,CHH
165,COYAME DEL SOTOL,CHH
166,LA CRUZ,CHH
167,CUAUHTÉMOC,CHH
168,CUSIHUIRIACHI,CHH
169,CHIHUAHUA,CHH
170,CHÍNIPAS,CHH
171,DELICIAS,CHH
172,DR. BELISARIO DOMÍNGUEZ,CHH
173,GALEANA,CHH
174,SANTA ISABEL,CHH
175,GÓMEZ FARÍAS,CHH
176,GRAN MORELOS,CHH
177,GUACHOCHI,CHH
178,GUADALUPE,CHH
179,GUADALUPE Y CALVO,CHH
180,GUAZAPARES,CHH
181,GUERRERO,CHH
182,HIDALGO DEL PARRAL,CHH
183,HUEJOTITÁN,CHH
184,IGNACIO ZARAGOZA,CHH
185,JANOS,CHH
186,JIMÉNEZ,CHH
187,JUÁREZ,CHH
188,JULIMES,CHH
189,LÓPEZ,CHH
190,MADERA,CHH
191,MAGUARICHI,CHH
192,MANUEL BENAVIDES,CHH
193,MATACHÍ,CHH
194,MATAMOROS,CHH
195,MEOQUI,CHH
196,MORELOS,CHH
197,MORIS,CHH
198,NAMIQUIPA,CHH
199,NONOAVA,CHH
200,NUEVO CASAS GRANDES,CHH
201,OCAMPO,CHH
202,OJINAGA,CHH
203,PRAXEDIS G. GUERRERO,CHH
204,RIVA PALACIO,CHH
205,ROSALES,CHH
206,ROSARIO,CHH
207,SAN FRANCISCO DE BORJA,CHH
208,SAN FRANCISCO DE CONCHOS,CHH
209,SAN FRANCISCO DEL ORO,CHH
210,SANTA BÁRBARA,CHH
211,SATEVÓ,CHH
212,SAUCILLO,CHH
213,TEMÓSACHIC,CHH
214,EL TULE,CHH
215,URIQUE,CHH
216,URUACHI,CHH
217,VALLE DE ZARAGOZA,CHH
218,AZCAPOTZALCO,CMX
219,COYOACÁN,CMX
220,CUAJIMALPA DE MORELOS,CMX
221,GUSTAVO A. MADERO,CMX
222,IZTACALCO,CMX
223,IZTAPALAPA,CMX
224,LA MAGDALENA CONTRERAS,CMX
225,MILPA ALTA,CMX
226,ÁLVARO OBREGÓN,CMX
227,TLÁHUAC,CMX
228,TLALPAN,CMX
229,XOCHIMILCO,CMX
230,BENITO JUÁREZ,CMX
231,CUAUHTÉMOC,CMX
232,MIGUEL HIDALGO,CMX
233,VENUSTIANO CARRANZA,CMX
234,ABASOLO,COA
235,ACUÑA,COA
236,ALLENDE,COA
237,ARTEAGA,COA
238,CANDELA,COA
239,CASTAÑOS,COA
240,CUATRO CIÉNEGAS,COA
241,ESCOBEDO,COA
242,FRANCISCO I. MADERO,COA
243,FRONTERA,COA
244,GENERAL CEPEDA,COA
245,GUERRERO,COA
246,HIDALGO,COA
247,JIMÉNEZ,COA
248,JUÁREZ,COA
249,LAMADRID,COA
250,MATAMOROS,COA
251,MONCLOVA,COA
252,MORELOS,COA
253,MÚZQUIZ,COA
254,NADADORES,COA
255,NAVA,COA
256,OCAMPO,COA
257,PARRAS,COA
258,PIEDRAS NEGRAS,COA
259,PROGRESO,COA
260,RAMOS ARIZPE,COA
261,SABINAS,COA
262,SACRAMENTO,COA
263,SALTILLO,COA
264,SAN BUENAVENTURA,COA
265,SAN JUAN DE SABINAS,COA
266,SAN PEDRO,COA
267,SIERRA MOJADA,COA
268,TORREÓN,COA
269,VIESCA,COA
270,VILLA UNIÓN,COA
271,ZARAGOZA,COA
272,ARMERÍA,COL
273,COLIMA,COL
274,COMALA,COL
275,COQUIMATLÁN,COL
276,CUAUHTÉMOC,COL
277,IXTLAHUACÁN,COL
278,MANZANILLO,COL
279,MINATITLÁN,COL
280,TECOMÁN,COL
281,VILLA DE ÁLVAREZ,COL
282,CANATLÁN,DUR
283,CANELAS,DUR
284,CONETO DE COMONFORT,DUR
285,CUENCAMÉ,DUR
286,DURANGO,DUR
287,GENERAL SIMÓN BOLÍVAR,DUR
288,GÓMEZ PALACIO,DUR
289,GUADALUPE VICTORIA,DUR
290,GUANACEVÍ,DUR
291,HIDALGO,DUR
292,INDÉ,DUR
293,LERDO,DUR
294,MAPIMÍ,DUR
295,MEZQUITAL,DUR
296,NAZAS,DUR
297,NOMBRE DE DIOS,DUR
298,OCAMPO,DUR
299,EL ORO,DUR
300,OTÁEZ,DUR
301,PÁNUCO DE CORONADO,DUR
302,PEÑÓN BLANCO,DUR
303,POANAS,DUR
304,PUEBLO NUEVO,DUR
305,RODEO,DUR
306,SAN BERNARDO,DUR
307,SAN DIMAS,DUR
308,SAN JUAN DE GUADALUPE,DUR
309,SAN JUAN DEL RÍO,DUR
310,SAN LUIS DEL CORDERO,DUR
311,SAN PEDRO DEL GALLO,DUR
312,SANTA CLARA,DUR
313,SANTIAGO PAPASQUIARO,DUR
314,SÚCHIL,DUR
315,TAMAZULA,DUR
316,TEPEHUANES,DUR
317,TLAHUALILO,DUR
318,TOPIA,DUR
319,VICENTE GUERRERO,DUR
320,NUEVO IDEAL,DUR
321,ABASOLO,GUA
322,ACÁMBARO,GUA
323,SAN MIGUEL DE ALLENDE,GUA
324,APASEO EL ALTO,GUA
325,APASEO EL GRANDE,GUA
326,ATARJEA,GUA
327,CELAYA,GUA
328,MANUEL DOBLADO,GUA
329,COMONFORT,GUA
330,CORONEO,GUA
331,CORTAZAR,GUA
332,CUERÁMARO,GUA
333,DOCTOR MORA,GUA
334,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,GUA
335,GUANAJUATO,GUA
336,HUANÍMARO,GUA
337,IRAPUATO,GUA
338,JARAL DEL PROGRESO,GUA
339,JERÉCUARO,GUA
340,LEÓN,GUA
341,MOROLEÓN,GUA
342,OCAMPO,GUA
343,PÉNJAMO,GUA
344,PUEBLO NUEVO,GUA
345,PURÍSIMA DEL RINCÓN,GUA
346,ROMITA,GUA
347,SALAMANCA,GUA
348,SALVATIERRA,GUA
349,SAN DIEGO DE LA UNIÓN,GUA
350,SAN FELIPE,GUA
351,SAN FRANCISCO DEL RINCÓN,GUA
352,SAN JOSÉ ITURBIDE,GUA
353,SAN LUIS DE LA PAZ,GUA
354,SANTA CATARINA,GUA
355,SANTA CRUZ DE JUVENTINO ROSAS,GUA
356,SANTIAGO MARAVATÍO,GUA
357,SILAO DE LA VICTORIA,GUA
358,TARANDACUAO,GUA
359,TARIMORO,GUA
360,TIERRA BLANCA,GUA
361,URIANGATO,GUA
362,VALLE DE SANTIAGO,GUA
363,VICTORIA,GUA
364,VILLAGRÁN,GUA
365,XICHÚ,GUA
366,YURIRIA,GUA
367,ACAPULCO DE JUÁREZ,GRO
368,AHUACUOTZINGO,GRO
369,AJUCHITLÁN DEL PROGRESO,GRO
370,ALCOZAUCA DE GUERRERO,GRO
371,ALPOYECA,GRO
372,APAXTLA,GRO
373,ARCELIA,GRO
374,ATENANGO DEL RÍO,GRO
375,ATLAMAJALCINGO DEL MONTE,GRO
376,ATLIXTAC,GRO
377,ATOYAC DE ÁLVAREZ,GRO
378,AYUTLA DE LOS LIBRES,GRO
379,AZOYÚ,GRO
380,BENITO JUÁREZ,GRO
381,BUENAVISTA DE CUÉLLAR,GRO
382,COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA,GRO
383,COCULA,GRO
384,COPALA,GRO
385,COPALILLO,GRO
386,COPANATOYAC,GRO
387,COYUCA DE BENÍTEZ,GRO
388,COYUCA DE CATALÁN,GRO
389,CUAJINICUILAPA,GRO
390,CUALÁC,GRO
391,CUAUTEPEC,GRO
392,CUETZALA DEL PROGRESO,GRO
393,CUTZAMALA DE PINZÓN,GRO
394,CHILAPA DE ÁLVAREZ,GRO
395,CHILPANCINGO DE LOS BRAVO,GRO
396,FLORENCIO VILLARREAL,GRO
397,GENERAL CANUTO A. NERI,GRO
398,GENERAL HELIODORO CASTILLO,GRO
399,HUAMUXTITLÁN,GRO
400,HUITZUCO DE LOS FIGUEROA,GRO
401,IGUALA DE LA INDEPENDENCIA,GRO
402,IGUALAPA,GRO
403,IXCATEOPAN DE CUAUHTÉMOC,GRO
404,ZIHUATANEJO DE AZUETA,GRO
405,JUAN R. ESCUDERO,GRO
406,LEONARDO BRAVO,GRO
407,MALINALTEPEC,GRO
408,MÁRTIR DE CUILAPAN,GRO
409,METLATÓNOC,GRO
410,MOCHITLÁN,GRO
411,OLINALÁ,GRO
412,OMETEPEC,GRO
413,PEDRO ASCENCIO ALQUISIRAS,GRO
414,PETATLÁN,GRO
415,PILCAYA,GRO
416,PUNGARABATO,GRO
417,QUECHULTENANGO,GRO
418,SAN LUIS ACATLÁN,GRO
419,SAN MARCOS,GRO
420,SAN MIGUEL TOTOLAPAN,GRO
421,TAXCO DE ALARCÓN,GRO
422,TECOANAPA,GRO
423,TÉCPAN DE GALEANA,GRO
424,TELOLOAPAN,GRO
425,TEPECOACUILCO DE TRUJANO,GRO
426,TETIPAC,GRO
427,TIXTLA DE GUERRERO,GRO
428,TLACOACHISTLAHUACA,GRO
429,TLACOAPA,GRO
430,TLALCHAPA,GRO
431,TLALIXTAQUILLA DE MALDONADO,GRO
432,TLAPA DE COMONFORT,GRO
433,TLAPEHUALA,GRO
434,LA UNIÓN DE ISIDORO MONTES DE OCA,GRO
435,XALPATLÁHUAC,GRO
436,XOCHIHUEHUETLÁN,GRO
437,XOCHISTLAHUACA,GRO
438,ZAPOTITLÁN TABLAS,GRO
439,ZIRÁNDARO,GRO
440,ZITLALA,GRO
441,EDUARDO NERI,GRO
442,ACATEPEC,GRO
443,MARQUELIA,GRO
444,COCHOAPA EL GRANDE,GRO
445,JOSÉ JOAQUÍN DE HERRERA,GRO
446,JUCHITÁN,GRO
447,ILIATENCO,GRO
448,ACATLÁN,HID
449,ACAXOCHITLÁN,HID
450,ACTOPAN,HID
451,AGUA BLANCA DE ITURBIDE,HID
452,AJACUBA,HID
453,ALFAJAYUCAN,HID
454,ALMOLOYA,HID
455,APAN,HID
456,EL ARENAL,HID
457,ATITALAQUIA,HID
458,ATLAPEXCO,HID
459,ATOTONILCO EL GRANDE,HID
460,ATOTONILCO DE TULA,HID
461,CALNALI,HID
462,CARDONAL,HID
463,CUAUTEPEC DE HINOJOSA,HID
464,CHAPANTONGO,HID
465,CHAPULHUACÁN,HID
466,CHILCUAUTLA,HID
467,ELOXOCHITLÁN,HID
468,EMILIANO ZAPATA,HID
469,EPAZOYUCAN,HID
470,FRANCISCO I. MADERO,HID
471,HUASCA DE OCAMPO,HID
472,HUAUTLA,HID
473,HUAZALINGO,HID
474,HUEHUETLA,HID
475,HUEJUTLA DE REYES,HID
476,HUICHAPAN,HID
477,IXMIQUILPAN,HID
478,JACALA DE LEDEZMA,HID
479,JALTOCÁN,HID
480,JUÁREZ HIDALGO,HID
481,LOLOTLA,HID
482,METEPEC,HID
483,SAN AGUSTÍN METZQUITITLÁN,HID
484,METZTITLÁN,HID
485,MINERAL DEL CHICO,HID
486,MINERAL DEL MONTE,HID
487,LA MISIÓN,HID
488,MIXQUIAHUALA DE JUÁREZ,HID
489,MOLANGO DE ESCAMILLA,HID
490,NICOLÁS FLORES,HID
491,NOPALA DE VILLAGRÁN,HID
492,OMITLÁN DE JUÁREZ,HID
493,SAN FELIPE ORIZATLÁN,HID
494,PACULA,HID
495,PACHUCA DE SOTO,HID
496,PISAFLORES,HID
497,PROGRESO DE OBREGÓN,HID
498,MINERAL DE LA REFORMA,HID
499,SAN AGUSTÍN TLAXIACA,HID
500,SAN BARTOLO TUTOTEPEC,HID
501,SAN SALVADOR,HID
502,SANTIAGO DE ANAYA,HID
503,SANTIAGO TULANTEPEC DE LUGO GUERRERO,HID
504,SINGUILUCAN,HID
505,TASQUILLO,HID
506,TECOZAUTLA,HID
507,TENANGO DE DORIA,HID
508,TEPEAPULCO,HID
509,TEPEHUACÁN DE GUERRERO,HID
510,TEPEJI DEL RÍO DE OCAMPO,HID
511,TEPETITLÁN,HID
512,TETEPANGO,HID
513,VILLA DE TEZONTEPEC,HID
514,TEZONTEPEC DE ALDAMA,HID
515,TIANGUISTENGO,HID
516,TIZAYUCA,HID
517,TLAHUELILPAN,HID
518,TLAHUILTEPA,HID
519,TLANALAPA,HID
520,TLANCHINOL,HID
521,TLAXCOAPAN,HID
522,TOLCAYUCA,HID
523,TULA DE ALLENDE,HID
524,TULANCINGO DE BRAVO,HID
525,XOCHIATIPAN,HID
526,XOCHICOATLÁN,HID
527,YAHUALICA,HID
528,ZACUALTIPÁN DE ÁNGELES,HID
529,ZAPOTLÁN DE JUÁREZ,HID
530,ZEMPOALA,HID
531,ZIMAPÁN,HID
532,ACATIC,JAL
533,ACATLÁN DE JUÁREZ,JAL
534,AHUALULCO DE MERCADO,JAL
535,AMACUECA,JAL
536,AMATITÁN,JAL
537,AMECA,JAL
538,SAN JUANITO DE ESCOBEDO,JAL
539,ARANDAS,JAL
540,EL ARENAL,JAL
541,ATEMAJAC DE BRIZUELA,JAL
542,ATENGO,JAL
543,ATENGUILLO,JAL
544,ATOTONILCO EL ALTO,JAL
545,ATOYAC,JAL
546,AUTLÁN DE NAVARRO,JAL
547,AYOTLÁN,JAL
548,AYUTLA,JAL
549,LA BARCA,JAL
550,BOLAÑOS,JAL
551,CABO CORRIENTES,JAL
552,CASIMIRO CASTILLO,JAL
553,CIHUATLÁN,JAL
554,ZAPOTLÁN EL GRANDE,JAL
555,COCULA,JAL
556,COLOTLÁN,JAL
557,CONCEPCIÓN DE BUENOS AIRES,JAL
558,CUAUTITLÁN DE GARCÍA BARRAGÁN,JAL
559,CUAUTLA,JAL
560,CUQUÍO,JAL
561,CHAPALA,JAL
562,CHIMALTITÁN,JAL
563,CHIQUILISTLÁN,JAL
564,DEGOLLADO,JAL
565,EJUTLA,JAL
566,ENCARNACIÓN DE DÍAZ,JAL
567,ETZATLÁN,JAL
568,EL GRULLO,JAL
569,GUACHINANGO,JAL
570,GUADALAJARA,JAL
571,HOSTOTIPAQUILLO,JAL
572,HUEJÚCAR,JAL
573,HUEJUQUILLA EL ALTO,JAL
574,LA HUERTA,JAL
575,IXTLAHUACÁN DE LOS MEMBRILLOS,JAL
576,IXTLAHUACÁN DEL RÍO,JAL
577,JALOSTOTITLÁN,JAL
578,JAMAY,JAL
579,JESÚS MARÍA,JAL
580,JILOTLÁN DE LOS DOLORES,JAL
581,JOCOTEPEC,JAL
582,JUANACATLÁN,JAL
583,JUCHITLÁN,JAL
584,LAGOS DE MORENO,JAL
585,EL LIMÓN,JAL
586,MAGDALENA,JAL
587,SANTA MARÍA DEL ORO,JAL
588,LA MANZANILLA DE LA PAZ,JAL
589,MASCOTA,JAL
590,MAZAMITLA,JAL
591,MEXTICACÁN,JAL
592,MEZQUITIC,JAL
593,MIXTLÁN,JAL
594,OCOTLÁN,JAL
595,OJUELOS DE JALISCO,JAL
596,PIHUAMO,JAL
597,PONCITLÁN,JAL
598,PUERTO VALLARTA,JAL
599,VILLA PURIFICACIÓN,JAL
600,QUITUPAN,JAL
601,EL SALTO,JAL
602,SAN CRISTÓBAL DE LA BARRANCA,JAL
603,SAN DIEGO DE ALEJANDRÍA,JAL
604,SAN JUAN DE LOS LAGOS,JAL
605,SAN JULIÁN,JAL
606,SAN MARCOS,JAL
607,SAN MARTÍN DE BOLAÑOS,JAL
608,SAN MARTÍN HIDALGO,JAL
609,SAN MIGUEL EL ALTO,JAL
610,GÓMEZ FARÍAS,JAL
611,SAN SEBASTIÁN DEL OESTE,JAL
612,SANTA MARÍA DE LOS ÁNGELES,JAL
613,SAYULA,JAL
614,TALA,JAL
615,TALPA DE ALLENDE,JAL
616,TAMAZULA DE GORDIANO,JAL
617,TAPALPA,JAL
618,TECALITLÁN,JAL
619,TECOLOTLÁN,JAL
620,TECHALUTA DE MONTENEGRO,JAL
621,TENAMAXTLÁN,JAL
622,TEOCALTICHE,JAL
623,TEOCUITATLÁN DE CORONA,JAL
624,TEPATITLÁN DE MORELOS,JAL
625,TEQUILA,JAL
626,TEUCHITLÁN,JAL
627,TIZAPÁN EL ALTO,JAL
628,TLAJOMULCO DE ZÚÑIGA,JAL
629,SAN PEDRO TLAQUEPAQUE,JAL
630,TOLIMÁN,JAL
631,TOMATLÁN,JAL
632,TONALÁ,JAL
633,TONAYA,JAL
634,TONILA,JAL
635,TOTATICHE,JAL
636,TOTOTLÁN,JAL
637,TUXCACUESCO,JAL
638,TUXCUECA,JAL
639,TUXPAN,JAL
640,UNIÓN DE SAN ANTONIO,JAL
641,UNIÓN DE TULA,JAL
642,VALLE DE GUADALUPE,JAL
643,VALLE DE JUÁREZ,JAL
644,SAN GABRIEL,JAL
645,VILLA CORONA,JAL
646,VILLA GUERRERO,JAL
647,VILLA HIDALGO,JAL
648,CAÑADAS DE OBREGÓN,JAL
649,YAHUALICA DE GONZÁLEZ GALLO,JAL
650,ZACOALCO DE TORRES,JAL
651,ZAPOPAN,JAL
652,ZAPOTILTIC,JAL
653,ZAPOTITLÁN DE VADILLO,JAL
654,ZAPOTLÁN DEL REY,JAL
655,ZAPOTLANEJO,JAL
656,SAN IGNACIO CERRO GORDO,JAL
657,ACAMBAY DE RUÍZ CASTAÑEDA,MEX
658,ACOLMAN,MEX
659,ACULCO,MEX
660,ALMOLOYA DE ALQUISIRAS,MEX
661,ALMOLOYA DE JUÁREZ,MEX
662,ALMOLOYA DEL RÍO,MEX
663,AMANALCO,MEX
664,AMATEPEC,MEX
665,AMECAMECA,MEX
666,APAXCO,MEX
667,ATENCO,MEX
668,ATIZAPÁN,MEX
669,ATIZAPÁN DE ZARAGOZA,MEX
670,ATLACOMULCO,MEX
671,ATLAUTLA,MEX
672,AXAPUSCO,MEX
673,AYAPANGO,MEX
674,CALIMAYA,MEX
675,CAPULHUAC,MEX
676,COACALCO DE BERRIOZÁBAL,MEX
677,COATEPEC HARINAS,MEX
678,COCOTITLÁN,MEX
679,COYOTEPEC,MEX
680,CUAUTITLÁN,MEX
681,CHALCO,MEX
682,CHAPA DE MOTA,MEX
683,CHAPULTEPEC,MEX
684,CHIAUTLA,MEX
685,CHICOLOAPAN,MEX
686,CHICONCUAC,MEX
687,CHIMALHUACÁN,MEX
688,DONATO GUERRA,MEX
689,ECATEPEC DE MORELOS,MEX
690,ECATZINGO,MEX
691,HUEHUETOCA,MEX
692,HUEYPOXTLA,MEX
693,HUIXQUILUCAN,MEX
694,ISIDRO FABELA,MEX
695,IXTAPALUCA,MEX
696,IXTAPAN DE LA SAL,MEX
697,IXTAPAN DEL ORO,MEX
698,IXTLAHUACA,MEX
699,XALATLACO,MEX
700,JALTENCO,MEX
701,JILOTEPEC,MEX
702,JILOTZINGO,MEX
703,JIQUIPILCO,MEX
704,JOCOTITLÁN,MEX
705,JOQUICINGO,MEX
706,JUCHITEPEC,MEX
707,LERMA,MEX
708,MALINALCO,MEX
709,MELCHOR OCAMPO,MEX
710,METEPEC,MEX
711,MEXICALTZINGO,MEX
712,MORELOS,MEX
713,NAUCALPAN DE JUÁREZ,MEX
714,NEZAHUALCÓYOTL,MEX
715,NEXTLALPAN,MEX
716,NICOLÁS ROMERO,MEX
717,NOPALTEPEC,MEX
718,OCOYOACAC,MEX
719,OCUILAN,MEX
720,EL ORO,MEX
721,OTUMBA,MEX
722,OTZOLOAPAN,MEX
723,OTZOLOTEPEC,MEX
724,OZUMBA,MEX
725,PAPALOTLA,MEX
726,LA PAZ,MEX
727,POLOTITLÁN,MEX
728,RAYÓN,MEX
729,SAN ANTONIO LA ISLA,MEX
730,SAN FELIPE DEL PROGRESO,MEX
731,SAN MARTÍN DE LAS PIRÁMIDES,MEX
732,SAN MATEO ATENCO,MEX
733,SAN SIMÓN DE GUERRERO,MEX
734,SANTO TOMÁS,MEX
735,SOYANIQUILPAN DE JUÁREZ,MEX
736,SULTEPEC,MEX
737,TECÁMAC,MEX
738,TEJUPILCO,MEX
739,TEMAMATLA,MEX
740,TEMASCALAPA,MEX
741,TEMASCALCINGO,MEX
742,TEMASCALTEPEC,MEX
743,TEMOAYA,MEX
744,TENANCINGO,MEX
745,TENANGO DEL AIRE,MEX
746,TENANGO DEL VALLE,MEX
747,TEOLOYUCAN,MEX
748,TEOTIHUACÁN,MEX
749,TEPETLAOXTOC,MEX
750,TEPETLIXPA,MEX
751,TEPOTZOTLÁN,MEX
752,TEQUIXQUIAC,MEX
753,TEXCALTITLÁN,MEX
754,TEXCALYACAC,MEX
755,TEXCOCO,MEX
756,TEZOYUCA,MEX
757,TIANGUISTENCO,MEX
758,TIMILPAN,MEX
759,TLALMANALCO,MEX
760,TLALNEPANTLA DE BAZ,MEX
761,TLATLAYA,MEX
762,TOLUCA,MEX
763,TONATICO,MEX
764,TULTEPEC,MEX
765,TULTITLÁN,MEX
766,VALLE DE BRAVO,MEX
767,VILLA DE ALLENDE,MEX
768,VILLA DEL CARBÓN,MEX
769,VILLA GUERRERO,MEX
770,VILLA VICTORIA,MEX
771,XONACATLÁN,MEX
772,ZACAZONAPAN,MEX
773,ZACUALPAN,MEX
774,ZINACANTEPEC,MEX
775,ZUMPAHUACÁN,MEX
776,ZUMPANGO,MEX
777,CUAUTITLÁN IZCALLI,MEX
778,VALLE DE CHALCO SOLIDARIDAD,MEX
779,LUVIANOS,MEX
780,SAN JOSÉ DEL RINCÓN,MEX
781,TONANITLA,MEX
782,ACUITZIO,MIC
783,AGUILILLA,MIC
784,ÁLVARO OBREGÓN,MIC
785,ANGAMACUTIRO,MIC
786,ANGANGUEO,MIC
787,APATZINGÁN,MIC
788,APORO,MIC
789,AQUILA,MIC
790,ARIO,MIC
791,ARTEAGA,MIC
792,BRISEÑAS,MIC
793,BUENAVISTA,MIC
794,CARÁCUARO,MIC
795,COAHUAYANA,MIC
796,COALCOMÁN DE VÁZQUEZ PALLARES,MIC
797,COENEO,MIC
798,CONTEPEC,MIC
799,COPÁNDARO,MIC
800,COTIJA,MIC
801,CUITZEO,MIC
802,CHARAPAN,MIC
803,CHARO,MIC
804,CHAVINDA,MIC
805,CHERÁN,MIC
806,CHILCHOTA,MIC
807,CHINICUILA,MIC
808,CHUCÁNDIRO,MIC
809,CHURINTZIO,MIC
810,CHURUMUCO,MIC
811,ECUANDUREO,MIC
812,EPITACIO HUERTA,MIC
813,ERONGARÍCUARO,MIC
814,GABRIEL ZAMORA,MIC
815,HIDALGO,MIC
816,LA HUACANA,MIC
817,HUANDACAREO,MIC
818,HUANIQUEO,MIC
819,HUETAMO,MIC
820,HUIRAMBA,MIC
821,INDAPARAPEO,MIC
822,IRIMBO,MIC
823,IXTLÁN,MIC
824,JACONA,MIC
825,JIMÉNEZ,MIC
826,JIQUILPAN,MIC
827,JUÁREZ,MIC
828,JUNGAPEO,MIC
829,LAGUNILLAS,MIC
830,MADERO,MIC
831,MARAVATÍO,MIC
